pit_id,region,date,time,latitude,longitude,paired,species,stride_pattern,age_class,surface_temp,avg_tuna,avg_track_depth,avg_dens_0_10,avg_dens_0_20,avg_dens_0_30,track_length,track_width,avg_hh_0_10,avg_hh_0_20,avg_hh_0_30,avg_hh_0_40,avg_hh_0_50,ice_top_10,ice_top_20,ice_top_30,ice_top_40,ice_top_50,total_ice_10,total_ice_20,total_ice_30,total_ice_40,total_ice_50,vegetation_type
NE010921-2-1-NE,NE,1/9/21,-9999,48.36732,-117.5684,No,Wolf,NA,Adult,-9999,-9999,19,235,225.5,225.5,-9999,-9999,2.3,2.75,3.266666667,3.631578947,3.631578947,0,0,1,1,1,0,0,3,11,11,NA
NE011021-1-1-NE,NE,1/10/21,-9999,48.13235,-117.4455,No,Wolf,NA,Adult,-9999,-9999,7.333333333,305,305.25,302.3333333,12.5,14,3.3,3.25,3.233333333,3.325,3.276595745,0,0,0,0,0,0,0,0,0,0,NA
MV011321-BM-1-MV,MV,1/13/21,-9999,48.33131,-120.29699,No,Moose,NA,Adult,-9999,12,56.33333333,120,145,171,11,8.8,2.5,2.15,2.433333333,2.575,2.72,0,0,0,0,0,0,0,0,0,0,NA
MV011321-BM-2-MV,MV,1/13/21,-9999,48.33127,-120.297,No,Moose,NA,Adult,-9999,0,22,368,338,319,11,8.8,4,3.8,3.533333333,3.275,3.040816327,1,1,1,1,1,5,5,5,5,5,NA
MV011321-TR-1-MV,MV,1/13/21,-9999,48.37076,-120.41677,No,Moose,NA,Adult,-9999,9.75,43,193,167,175.1666667,12.5,10,2.9,2.7,2.8,2.875,2.9,1,1,1,1,1,3,3,3,3,3,NA
MV011421-2-MV,MV,1/14/21,-9999,48.36578,-120.40598,No,Moose,NA,Adult,-9999,0,25.33333333,219,304.5,346.1666667,13.5,9.5,2.2,3.1,3.366666667,3.525,3.58,1,1,1,1,1,3,8,8,8,8,NA
NE011621_2-1-NE,NE,1/16/21,-9999,48.27533,-117.50427,No,Moose,NA,Adult,-9999,-9999,48.83333333,298.5,295.75,276.8333333,-9999,-9999,4.2,3.65,3.3,2.975,3.14,1,1,1,1,1,2,2,2,2,2,NA
NE011621_1-1-NE,NE,1/16/21,-9999,48.26817,-117.54254,No,Moose,NA,Adult,-9999,-9999,85,271.5,289,320.6666667,17.5,13.5,3.9,3.5,3.466666667,3.65,3.72,0,1,1,1,1,0,3,5,7,7,NA
MV011821-1-MV,MV,1/18/21,-9999,48.37461,-120.41183,No,Moose,NA,Adult,-9999,0,49.33333333,247.5,234.75,241.3333333,13,13,3.2,2.9,2.966666667,2.975,2.98,1,1,1,1,1,4,4,4,4,4,NA
MV011921-3-MV,MV,1/19/21,-9999,48.42032,-119.8549,No,Coyote,NA,Unknown,-9999,9,6.416666667,178.5,216.5,226.3333333,6.75,5.75,2.2,2.5,2.666666667,2.8,2.88,1,1,1,1,1,3,5,5,6,7,NA
