"","PitID","Region","Date","Time","Latitude","Longitude","Species","Stride.Pattern","Age.class","Surface.temp","AvgTuna","AvgTrackDepth","AvgDens010","AvgDens020","AvgDens030","Track.length","Track.width","AvgHH0.10","AvgHH0.20","AvgHH0.30","AvgHH0.40","AvgHH0.50","IceTop10","IceTop20","IceTop30","IceTop40","IceTop50","TotalIce10","TotalIce20","TotalIce30","TotalIce40","TotalIce50","Vegetation.Type"
"1","VC-0118-A-MOO-01-DENA","DENA","1/18/22","10:37",63.7331636,"-148.9181039","Moose-Juv","Walk","Juvenile",-16,2.25,3.5,368,296.5,319.666666666667,9,12.5,3.4,3.45,3.03333333333333,3.075,2.86,1,1,1,1,1,6,11,11,11,11,"Open Forest"
"2","PR-0120-B-MOO-01-DENA","DENA","1/20/22","10:52",63.71658,"-148.99258","Moose","Walk","Adult",-25.5,6,40.6666666666667,164.5,188,213,13,10,1.6,1.8,1.96666666666667,1.975,2.22,0,0,1,1,1,0,0,1,1,5,"Open Forest"
"3","PR-0120-B-MOO-02-DENA","DENA","1/20/22","10:54",63.71658,"-148.71658","Moose","Walk","Adult",-25,5.75,41.6666666666667,173,188.5,215.166666666667,18,13,1.7,1.85,2,2,2.42,0,0,1,1,1,0,0,1,1,8,"Open Forest"
"4","VC-0120-C-MOO-01-DENA","DENA","1/20/22","15:07",63.72926,"-148.91779","Moose","Walk","Unknown",-18,4.5,43.1666666666667,163.5,190.25,212.166666666667,16,13,1.5,1.75,1.96666666666667,1.975,2.18,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"5","VC-0120-C-MOO-02-DENA","DENA","1/20/22","15:09",63.72924,"-148.91774","Moose","Walk","Unknown",-20,5.5,45.8333333333333,174.5,198,244,13,11,1.7,1.95,2.16666666666667,2.475,2.38,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"6","ST-0121-A-MOO-01-DENA","DENA","1/21/22","14:17",63.9091,"-149.50613","Moose","Walk","Unknown",-2,12.75,39.6666666666667,158,214.25,210.833333333333,12,10,1,1.4,1.66666666666667,1.55,1.76,0,0,0,0,1,0,0,0,0,4,"Road"
"7","ST-0121-A-MOO-02-DENA","DENA","1/21/22","14:20",63.90903,"-149.50624","Moose","Walk","Unknown",-1,13.25,45.3333333333333,129.5,187,215.833333333333,14,12,1,1.45,1.63333333333333,2.075,2.32,0,0,0,1,1,0,0,0,3,3,"Road"
"8","ST-0126-A-MOO-01-DENA","DENA","1/26/22","10:50",63.90346,"-149.20154","Moose","Walk","Unknown",-32.5,3,22.6666666666667,244.5,219.75,250.666666666667,12,11,2.8,2.95,3.2,2.90909090909091,2.90909090909091,0,0,0,0,0,0,0,0,0,0,"Riparian"
"9","ST-0126-B-MOO-02-DENA","DENA","1/26/22","15:00",63.90504,"-149.21407","Moose","Walk","Adult",-24,0,33,412.5,325.75,307.666666666667,13,12,5,3.95,3.33333333333333,3.075,2.92,1,1,1,1,1,10,13,13,14,15,"Riparian"
"10","ST-0126-C-MOO-03-DENA","DENA","1/26/22","15:34",63.90544,"-149.90544","Moose","Walk","Adult",-24,4.25,30.3333333333333,195.5,219.75,239.666666666667,14,13,2,2.5,2.5,2.725,2.78,0,1,1,1,1,0,2,2,2,2,"Riparian"
"11","SL-0131-A-MOO-01-DENA","DENA","1/31/22","10:20",63.92954,"-149.1613","Moose","Walk","Unknown",-39,5.25,23.3333333333333,184,221.75,227,15,13,1.6,1.7,1.76666666666667,2.425,2.34883720930233,0,0,0,1,1,0,0,0,8,8,"Riparian"
"12","SL-0131-A-MOO-02-DENA","DENA","1/31/22","10:25",63.92959,"-149.16129","Moose","Walk","Unknown",-37,4.25,22.6666666666667,214.5,226,248.166666666667,14,12,1.6,1.55,1.83333333333333,2.07894736842105,2.07894736842105,0,0,0,0,0,0,0,0,0,0,"Riparian"
"13","SR-0131-A-MOO-01-DENA","DENA","1/31/22","12:51",63.88578,"-149.427","Moose","Walk","Unknown",-30,12.25,21.5,151,197,234,14,12,1.2,2.05,1.9,2.025,2.6,0,0,0,1,1,0,0,0,0,9,"Open Forest"
"14","SR-0131-A-MOO-02-DENA","DENA","1/31/22","12:55",63.88577,"-149.42703","Moose","Walk","Unknown",-32,9.25,29.8333333333333,154.5,196.75,222,17,14,1.3,1.35,1.7,1.825,2.26,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"15","SR-0131-B-MOO-03-DENA","DENA","1/31/22","13:40",63.87754,"-149.41811","Moose","Walk","Unknown",-35.5,9.5,21.5,170,203,220,13,11,1.6,1.3,1.33333333333333,2,3.02325581395349,0,0,1,1,1,0,0,1,8,18,"Riparian"
"16","SR-0131-B-MOO-04-DENA","DENA","1/31/22","14:03",63.87747,"-149.41812","Moose","Walk","Unknown",-31,11.25,22,140.5,170.5,210.333333333333,12,10,1.1,1.55,1.83333333333333,2.175,2.54,0,0,1,1,1,0,0,2,2,2,"Riparian"
"17","ST-0131-A-COY-01-DENA","DENA","1/31/22","16:11",63.88544,"-149.29358","Coyote","Walk","Unknown",-26,5.25,5.33333333333333,216,253.5,280.666666666667,6,4.5,2.2,2.45,2.3,2.275,2.42,0,1,1,1,1,0,1,1,1,1,"Tundra"
"18","ST-0131-A-COY-02-DENA","DENA","1/31/22","16:15",63.8855,"-149.29358","Coyote","Walk","Unknown",-25,5,5,227,277,291.5,6,5.5,1.8,2.7,2.86666666666667,2.75,2.78,1,1,1,1,1,1,3,5,5,5,"Tundra"
"19","PR-0201-A-WLF-01-DENA","DENA","2/1/22","11:02",63.71763,"-149.01028","Wolf","Walk","Adult",-27,6.75,6.5,167.5,189.25,205.333333333333,10.5,11,1,1.9,2,2.175,2.34,0,0,0,1,1,0,0,0,1,1,"Open Forest"
"20","PR-0201-A-WLF-02-DENA","DENA","2/1/22","11:15",63.71749,"-149.01054","Wolf","Walk","Adult",-29,6.25,8.16666666666667,162,190.5,226.333333333333,9,9.5,1.7,2.1,2.06666666666667,2.125,2.4,0,0,1,1,1,0,0,0,1,6,"Road"
"21","PR-0202-A-COY-01-DENA","DENA","2/2/22","14:30",63.72222,"-149.28809","Coyote","Walk","Adult",-33,1.5,5,284,272.25,293.5,7,6.5,1.9,2.35,2.33333333333333,2.35,2.08,0,0,0,0,0,0,0,0,0,0,"Riparian"
"22","PR-0202-A-COY-02-DENA","DENA","2/2/22","14:37",63.72238,"-149.28838","Coyote","Walk","Adult",-30,0.25,0.833333333333333,362,297.75,280.833333333333,8,6,3,2.5,2.33333333333333,2.425,2.87234042553191,0,0,0,0,0,0,0,0,0,0,"Riparian"
"23","PR-0203-A-MOO-01-DENA","DENA","2/3/22","11:55",63.71194,"-149.16656","Moose","Walk","Unknown",-13.5,10.25,29.1666666666667,139.5,174.5,225.333333333333,16,13,1,1.1,1.4,2.225,2.48,0,0,0,1,1,0,0,0,9,11,"Open Forest"
"24","PR-0203-A-MOO-02-DENA","DENA","2/3/22","12:20",63.71196,"-149.16666","Moose","Walk","Unknown",-12,9,25.1666666666667,162.5,207.5,228.166666666667,14,12.5,1,1.35,1.3,1.525,2.1,0,0,0,1,1,0,0,0,2,10,"Open Forest"
"25","MR-0204-A-BOU-01-DENA","DENA","2/4/22","13:05",63.83768,"-149.20096","Caribou","Walk","Adult",-16,4.75,5.5,296,331.5,319.166666666667,14,13,2.5,3,2.76666666666667,3.15,3.16,0,0,0,1,1,0,0,0,5,9,"Tundra"
"26","MR-0204-B-WLF-01-DENA","DENA","2/4/22","14:05",63.83301,"-149.18372","Wolf","Walk","Adult",-14.5,5.25,9.33333333333333,218.5,302,319.5,10,7.5,1.2,2.45,2.16666666666667,2.25,2.46666666666667,0,1,1,1,1,0,3,4,4,4,"Tundra"
"27","MR-0204-B-WLF-02-DENA","DENA","2/4/22","14:15",63.83319,"-149.18385","Wolf","Walk","Adult",-13,3.5,5,250,251.25,251.25,10,9,2.4,2.6,3.04761904761905,3.04761904761905,3.04761904761905,1,1,1,1,1,3,3,3,3,3,"Tundra"
"28","PG-0207-A-COY-01-DENA","DENA","2/7/22","10:45",63.89972,"-149.34352","Coyote","Walk","Adult",-23,8.75,8.16666666666667,109.5,228,238,9,7,1.2,2.3,1.96666666666667,2.025,2.2,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"29","PG-0207-A-COY-02-DENA","DENA","2/7/22","10:50",63.89961,"-149.34349","Coyote","Walk","Adult",-27,8.5,7.83333333333333,165.5,202.25,230.333333333333,7.5,6,1,1.9,2.1,2.225,2.3,0,1,1,1,1,0,3,3,3,3,"Tundra"
"30","ST-0207-A-WLF-01-DENA","DENA","2/7/22","14:27",63.90243,"-149.44907","Wolf","Trot","Adult",-25,14,17.6666666666667,91.5,137.75,178.666666666667,11,10,1,1,1.2,1.2,1.38,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"31","ST-0207-A-WLF-02-DENA","DENA","2/7/22","14:50",63.90246,"-149.44901","Wolf","Trot","Adult",-27,16.25,20,107,150.75,175.833333333333,12,10,1,1,1.13333333333333,1.225,1.18,0,0,0,0,0,0,0,0,0,0,"Open Forest"
"32","ST-0207-C-MOO-01-DENA","DENA","2/7/22","15:52",63.88461,"-149.27617","Moose","Walk","Adult",-29,9.5,40,111,182.5,219.166666666667,14,12,1.1,2.25,1.93333333333333,2,2.08,0,0,0,0,0,0,0,0,0,0,"Shrub"
"33","ST-0207-C-MOO-02-DENA","DENA","2/7/22","15:55",63.88467,"-149.27612","Moose","Walk","Adult",-28,8,37.3333333333333,153.5,228.75,248,16,14,1.4,2.6,2.06666666666667,1.95,2.16,0,0,0,0,0,0,0,0,0,0,"Shrub"
